loss,mean_absolute_error,mean_squared_error
0.007377298083156347,0.028235267847776413,0.007368907798081636
8.577635162509978e-05,0.005404361058026552,8.57962149893865e-05
8.071092452155426e-05,0.005457980092614889,8.068741590250283e-05
6.23600062681362e-05,0.004493018612265587,6.30101203569211e-05
6.222639058250934e-05,0.004600906744599342,6.217660120455548e-05
5.85213492740877e-05,0.00441169086843729,5.848073851666413e-05
5.6784312619129196e-05,0.004380330443382263,5.682041228283197e-05
4.927505142404698e-05,0.004059091676026583,4.930808427161537e-05
5.7236466091126204e-05,0.004694696981459856,5.736679304391146e-05
4.420752156875096e-05,0.003917200490832329,4.423269638209604e-05
