loss,mean_absolute_error,mean_squared_error
0.004605584777891636,0.028099410235881805,0.004600557032972574
0.00044478129711933434,0.010572917759418488,0.00044501523370854557
0.0003462876193225384,0.009457005187869072,0.00034611273440532386
0.0002759319613687694,0.008012180216610432,0.0002758032351266593
0.00023571703059133142,0.00791318342089653,0.00023677643912378699
0.00020166413742117584,0.007198879029601812,0.00020147151371929795
0.00017877211212180555,0.007083697710186243,0.00017873411707114428
0.0001494405441917479,0.0059304386377334595,0.00014950422337278724
0.0001428667310392484,0.006317468360066414,0.00014282843039836735
0.00012421149585861713,0.005558930337429047,0.00012453367526177317
0.00011166300100740045,0.005127419251948595,0.0001115573468268849
0.00010896328603848815,0.005258422344923019,0.00010884962830459699
9.889891225611791e-05,0.005055024288594723,9.884231985779479e-05
9.790922194952145e-05,0.005153123289346695,9.7801566880662e-05
8.848297875374556e-05,0.004752027802169323,8.85041372384876e-05
8.17444670246914e-05,0.004608409479260445,8.166856423486024e-05
8.344163506990299e-05,0.004840949550271034,8.351078577106819e-05
7.020088378340006e-05,0.004259065724909306,7.012391870375723e-05
6.401086284313351e-05,0.003949457313865423,6.395326636265963e-05
6.578485044883564e-05,0.004259583540260792,6.571688572876155e-05
6.079536251490936e-05,0.004058313090354204,6.073982149246149e-05
5.878962474525906e-05,0.003985958639532328,5.874498310731724e-05
5.485625661094673e-05,0.0037719670217484236,5.483310087583959e-05
5.589413194684312e-05,0.00410319771617651,5.683907147613354e-05
5.183717803447507e-05,0.0038713281974196434,5.1797771448036656e-05
4.932112278765999e-05,0.003692306810989976,4.9354337534168735e-05
4.6689332521054894e-05,0.0035460363142192364,4.669153713621199e-05
4.422084748512134e-05,0.003334237728267908,4.417469972395338e-05
4.3553784053074196e-05,0.0032563258428126574,4.3520460167201236e-05
3.9964412280824035e-05,0.0031062013003975153,4.000869739684276e-05
