loss,mean_absolute_error,mean_squared_error
0.004158332943916321,0.019820865243673325,0.004153731279075146
0.00021766629652120173,0.0064597525633871555,0.00021747597202192992
0.00017089737229980528,0.005204982124269009,0.00017071599722839892
0.00015345687279477715,0.005142649170011282,0.0001533938047941774
0.00015349770546890795,0.005486669018864632,0.00015340694517362863
0.0001208311368827708,0.0042900266125798225,0.00012073033576598391
0.00011231448297621682,0.003929216880351305,0.00011230181553401053
0.00011658235598588362,0.004142131190747023,0.00011646239727269858
0.00010920689965132624,0.004456543363630772,0.00010908929107245058
0.00011006074782926589,0.004379790276288986,0.00010995259799528867
