loss,mean_absolute_error,mean_squared_error
0.005302377976477146,0.026856964454054832,0.005296474788337946
0.00010953889432130381,0.006393915042281151,0.00010943787492578849
9.158210013993084e-05,0.005712227430194616,9.15460113901645e-05
7.631268090335652e-05,0.005258920136839151,7.624694262631238e-05
5.6927241530502215e-05,0.0042074392549693584,5.687593875336461e-05
5.765337482444011e-05,0.004586671944707632,5.759201303590089e-05
5.115240492159501e-05,0.004117979202419519,5.120123387314379e-05
4.515279579209164e-05,0.0038579534739255905,4.52116692031268e-05
4.659341720980592e-05,0.004059391561895609,4.656388773582876e-05
3.601429853006266e-05,0.0032632446382194757,3.5986558941658586e-05
