loss,mean_absolute_error,mean_squared_error
0.011980474926531315,0.041229818016290665,0.011966865509748459
8.790376159595326e-05,0.005943572148680687,8.782092481851578e-05
7.551431917818263e-05,0.005705386865884066,7.547190762124956e-05
5.85805501032155e-05,0.00483242142945528,5.852490721736103e-05
6.587497045984492e-05,0.00544400978833437,6.584968650713563e-05
6.0012502217432484e-05,0.0052709695883095264,5.996304389555007e-05
4.5549961214419454e-05,0.004362595267593861,4.554359111352824e-05
4.56004127045162e-05,0.004550480749458075,4.5566761400550604e-05
3.9632759580854326e-05,0.004100866615772247,3.9601363823749125e-05
4.2392748582642525e-05,0.004441200755536556,4.235644155414775e-05
