loss,mean_absolute_error,mean_squared_error
0.0027654748409986496,0.019291162490844727,0.002762536285445094
0.0002569970383774489,0.007021875586360693,0.00025676185032352805
0.00022007283405400813,0.006609010975807905,0.00022137860651127994
0.00018582776829134673,0.005868347827345133,0.00018567264487501234
0.0001624189899303019,0.005175513681024313,0.00016225379658862948
0.000161147749167867,0.005496804136782885,0.00016122586384881288
0.00015147399972192943,0.00502396747469902,0.00015136018919292837
0.00015759379311930388,0.005838544107973576,0.00015743936819490045
0.00015208800323307514,0.005505697336047888,0.00015192871796898544
0.0001479058846598491,0.005337230395525694,0.0001481157960370183
