loss,mean_absolute_error,mean_squared_error
0.0009098685695789754,0.008030680008232594,0.000908827583771199
1.6817439245642163e-05,0.001611158950254321,1.680003697401844e-05
1.6809581211418845e-05,0.0016999663785099983,1.680994319031015e-05
1.842102938098833e-05,0.0020261313766241074,1.8401937268208712e-05
1.647776662139222e-05,0.0019733128137886524,1.6465299268020317e-05
1.996724313357845e-05,0.002442372730001807,1.9946321117458865e-05
1.3237097846285906e-05,0.0017498297384008765,1.322453681495972e-05
1.3384751582634635e-05,0.0016663039568811655,1.3382235920289531e-05
1.1859963706228882e-05,0.0016534156166017056,1.1847223504446447e-05
1.1471252946648747e-05,0.0016660059336572886,1.146190788858803e-05
