loss,mean_absolute_error,mean_squared_error
0.0019249970791861415,0.012598074041306973,0.0019228694727644324
1.6467694877064787e-05,0.002853811951354146,1.64718567248201e-05
1.42758999572834e-05,0.0026658980641514063,1.4268063750932924e-05
1.880584386526607e-05,0.00315639516338706,1.8796223230310716e-05
2.6720841560745612e-05,0.0035081852693110704,2.669949026312679e-05
2.2763297238270752e-05,0.003503649728372693,2.2750458811060525e-05
2.6184723537880927e-05,0.0038066788110882044,2.6179008273174986e-05
2.522709473851137e-05,0.0034177128691226244,2.5203697077813558e-05
3.965625728596933e-05,0.004762439522892237,3.962065966334194e-05
1.636286106077023e-05,0.0029728664085268974,1.6348962162737735e-05
