loss,mean_absolute_error,mean_squared_error
0.012814885936677456,0.03940614312887192,0.012800639495253563
0.00025241836556233466,0.009453038685023785,0.00025280995760113
0.00017536956875119358,0.0070373197086155415,0.00017558991385158151
0.00015196525782812387,0.007096635177731514,0.00015216418250929564
0.00012867615441791713,0.006494706496596336,0.0001285375328734517
0.00011790551798185334,0.006421731784939766,0.00011798329796874896
0.00011098997492808849,0.006458300165832043,0.00011087233724538237
8.369483111891896e-05,0.004964851308614016,8.363684173673391e-05
7.777103019179776e-05,0.004943126812577248,7.768793875584379e-05
7.941151852719486e-05,0.005261795595288277,7.946866389829665e-05
